City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,inongo,-1.95,18.2667,23.23,87,99,1.8,CD,1682881720
1,albany,42.6001,-73.9662,13.23,86,100,2.24,US,1682881720
2,butaritari,3.0707,172.7902,28.21,81,45,8.39,KI,1682881720
3,rikitea,-23.1203,-134.9692,25.44,81,15,4.0,PF,1682881720
4,krasnyy kholm,58.0607,37.1203,6.61,77,100,1.76,RU,1682881721
5,awjilah,29.1081,21.2869,23.53,17,0,3.57,LY,1682881721
6,grindavik,63.8424,-22.4338,6.26,45,0,9.26,IS,1682881721
7,cidreira,-30.1811,-50.2056,22.41,67,0,5.16,BR,1682881721
8,busselton,-33.65,115.3333,14.47,87,67,3.49,AU,1682881721
9,srednekolymsk,67.45,153.6833,-3.42,87,100,2.36,RU,1682881721
10,hami,42.8,93.45,18.28,17,5,1.63,CN,1682881722
11,tuktoyaktuk,69.4541,-133.0374,-8.51,92,96,5.52,CA,1682881722
12,superior,46.7208,-92.1041,6.09,80,100,10.8,US,1682881121
13,hermanus,-34.4187,19.2345,15.97,73,0,0.56,ZA,1682881722
14,turukhansk,65.8167,87.9833,-5.24,88,8,4.96,RU,1682881722
15,jamestown,42.097,-79.2353,8.77,93,100,5.66,US,1682881663
16,bluff,-46.6,168.3333,9.76,87,100,2.44,NZ,1682881722
17,beni mazar,28.4962,30.8029,20.75,29,0,3.52,EG,1682881723
18,kawalu,-7.3817,108.2082,23.01,98,100,0.76,ID,1682881723
19,kavieng,-2.5744,150.7967,27.66,80,93,4.6,PG,1682881723
20,whitianga,-36.8333,175.7,18.78,96,100,9.01,NZ,1682881723
21,tiksi,71.6872,128.8694,-7.89,100,100,1.79,RU,1682881723
22,cape town,-33.9258,18.4232,16.23,77,0,3.6,ZA,1682880956
23,east london,-33.0153,27.9116,18.71,77,63,7.41,ZA,1682881723
24,kaitangata,-46.2817,169.8464,9.96,99,100,1.16,NZ,1682881724
25,raudeberg,61.9875,5.1352,4.37,75,100,5.95,NO,1682881724
26,punta arenas,-53.15,-70.9167,7.06,65,0,12.86,CL,1682881551
27,manavalakurichi,8.1333,77.3,26.67,85,100,1.38,IN,1682881724
28,carnarvon,-24.8667,113.6333,22.08,83,100,2.53,AU,1682881724
29,saskylakh,71.9167,114.0833,-1.47,99,100,2.27,RU,1682881724
30,iralaya,15.0,-83.2333,30.01,66,27,5.34,HN,1682881725
31,barela,23.1,80.05,21.76,76,100,3.67,IN,1682881725
32,jishou,28.3167,109.7167,16.61,76,100,0.65,CN,1682881725
33,port alfred,-33.5906,26.891,16.21,90,44,1.34,ZA,1682881725
34,komsomolskiy,40.4272,71.7189,18.4,42,100,2.06,UZ,1682881725
35,paredon,16.0333,-93.8667,35.06,39,99,4.39,MX,1682881726
36,banjar,-8.19,114.9675,25.47,90,97,1.08,ID,1682881726
37,plettenberg bay,-34.0527,23.3716,16.38,76,0,2.07,ZA,1682881644
38,nhulunbuy,-12.2333,136.7667,25.34,83,31,3.09,AU,1682881726
39,oda,35.1833,132.5,12.11,62,1,5.01,JP,1682881726
40,mataura,-46.1927,168.8643,6.93,95,100,1.16,NZ,1682881727
41,orange cove,36.6244,-119.3137,29.23,43,0,3.09,US,1682881727
42,vrangel,42.7297,133.0839,4.32,89,87,3.16,RU,1682881727
43,yellowknife,62.456,-114.3525,8.09,53,100,5.09,CA,1682881727
44,swellendam,-34.0226,20.4417,15.64,68,0,0.75,ZA,1682881727
45,crib point,-38.35,145.2,10.88,66,100,0.54,AU,1682881554
46,longyearbyen,78.2186,15.6401,-9.09,57,20,7.2,SJ,1682881728
47,morgantown,39.6295,-79.9559,14.71,86,100,1.54,US,1682881463
48,dikson,73.5069,80.5464,-13.26,99,99,2.54,RU,1682881728
49,walvis bay,-22.9575,14.5053,14.49,79,6,3.69,NA,1682881728
50,huarmey,-10.0681,-78.1522,26.64,71,42,5.67,PE,1682881728
51,kapaa,22.0752,-159.319,26.18,70,40,3.6,US,1682881729
52,mersing,2.4312,103.8405,26.67,85,72,2.36,MY,1682881729
53,ushuaia,-54.8,-68.3,4.81,56,20,1.54,AR,1682881729
54,vila velha,-20.3297,-40.2925,22.97,94,100,6.69,BR,1682881588
55,caravelas,-17.7125,-39.2481,26.45,71,99,2.88,BR,1682881730
56,hobart,-42.8794,147.3294,8.92,90,82,4.12,AU,1682881730
57,hilo,19.7297,-155.09,26.27,69,0,2.68,US,1682881730
58,cabo san lucas,22.8909,-109.9124,32.56,23,20,2.06,MX,1682881519
59,kruisfontein,-34.0033,24.7314,16.05,87,0,4.22,ZA,1682881730
60,mahebourg,-20.4081,57.7,24.58,81,8,1.5,MU,1682881731
61,andenes,69.3143,16.1194,3.85,75,17,9.26,NO,1682881731
62,kang,-23.6752,22.7876,24.46,27,0,3.62,BW,1682881731
63,la ronge,55.1001,-105.2842,6.41,54,24,2.86,CA,1682881731
64,iqaluit,63.7506,-68.5145,-0.17,82,36,5.81,CA,1682881731
65,petatlan,17.5167,-101.2667,29.89,47,0,3.51,MX,1682881732
66,qaanaaq,77.484,-69.3632,-1.8,72,98,2.17,GL,1682881732
67,kamennomostskiy,44.2983,40.1856,8.91,96,100,1.02,RU,1682881732
68,changde,29.0464,111.6783,16.33,73,13,0.91,CN,1682881732
69,lavrentiya,65.5833,-171.0,-4.85,91,100,2.74,RU,1682881732
70,asau,46.4333,26.4,8.51,78,17,1.8,RO,1682881733
71,vila franca do campo,37.7167,-25.4333,18.23,78,14,4.75,PT,1682881733
72,tasiilaq,65.6145,-37.6368,2.09,71,100,1.57,GL,1682881733
73,pevek,69.7008,170.3133,-18.42,97,64,1.43,RU,1682881733
74,puerto ayora,-0.7393,-90.3518,29.98,89,61,2.24,EC,1682881733
75,pisco,-13.7,-76.2167,25.03,69,0,4.12,PE,1682881733
76,acapulco,16.8634,-99.8901,29.9,58,0,5.66,MX,1682881684
77,tutoia,-2.7619,-42.2744,27.73,80,100,4.22,BR,1682881647
78,fairbanks,64.8378,-147.7164,5.98,89,75,0.0,US,1682881501
79,dunedin,-45.8742,170.5036,11.01,81,100,2.58,NZ,1682881541
80,jertih,5.7336,102.4897,25.06,90,100,1.51,MY,1682881734
81,klaksvik,62.2266,-6.589,2.51,62,100,6.98,FO,1682881734
82,luderitz,-26.6481,15.1594,14.39,81,100,3.12,NA,1682881734
83,sinnamary,5.3833,-52.95,28.33,73,34,4.94,GF,1682881734
84,avera,33.194,-82.5271,22.83,52,89,8.46,US,1682881734
85,mar del plata,-38.0023,-57.5575,16.72,77,100,2.68,AR,1682881735
86,pasighat,28.0667,95.3333,21.5,71,100,1.93,IN,1682881735
87,campina verde,-19.5356,-49.4864,27.88,49,0,2.02,BR,1682881735
88,georgetown,5.4112,100.3354,25.97,94,20,0.51,MY,1682881556
89,penzance,50.1186,-5.5371,12.38,91,0,4.88,GB,1682881735
90,zeya,53.75,127.2667,2.72,59,99,1.15,RU,1682881735
91,tambura,5.6,27.4667,21.06,89,100,1.29,SS,1682881735
92,katsuura,35.1333,140.3,16.4,74,100,6.88,JP,1682881735
93,saint-philippe,-21.3585,55.7679,23.77,78,40,2.36,RE,1682881736
94,shenjiamen,29.9576,122.298,15.01,72,0,4.04,CN,1682881736
95,talnakh,69.4865,88.3972,-6.55,90,9,5.71,RU,1682881736
96,chuy,-33.6971,-53.4616,28.07,41,100,5.45,UY,1682881736
97,rawson,-43.3002,-65.1023,14.18,34,10,5.33,AR,1682881736
98,namibe,-15.1961,12.1522,24.55,84,88,4.21,AO,1682881737
99,oranjestad,12.524,-70.027,31.97,66,20,10.29,AW,1682881737
100,fortuna,40.5982,-124.1573,12.77,68,100,2.28,US,1682881441
101,ulladulla,-35.35,150.4667,11.54,89,78,2.13,AU,1682881737
102,atuona,-9.8,-139.0333,27.49,72,25,8.21,PF,1682881737
103,clyde river,70.4692,-68.5914,-0.29,85,100,0.9,CA,1682881737
